,title,date,location,year,used,kms,import,style,gearBox,fuelEngine,exterior,interior,seats,doors,motivated,url
0,Xe Hyundai Accent 1.4 AT 2023- 466 Triệu,Đăng ngày  9/11/2023. Xem 18 lượt,"Hyundai Phạm Hùng  Điện thoại:  0973 999 628   Địa chỉ: 16A Phạm Hùng, Phường Mai Dịch, Quận Cầu Giấy Hà Nội  Website: hyundaiphamhung.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5290146
1,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2018- 595 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2018,Xe đã dùng,"80,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Cam,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2018-5289247
2,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2021- 748 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2021,Xe đã dùng,"29,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Cam,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2021-5276422
3,Xe Ford Ranger XLS 2.2L 4x2 MT 2019- 449 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2019,Xe đã dùng,"51,000 Km",Nhập khẩu,Bán tải / Pickup,Số tay,Dầu  2.2 L,Vàng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2019-5280148
4,Xe Ford EcoSport Titanium 1.5L AT 2018- 410 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2018,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Đồng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-5271795
5,Xe Kia Carnival Signature 2.2D 2022- 1 Tỷ 335 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Hyundai Long An - Used Car  Điện thoại:  0932 888 866   Địa chỉ: 24ql1, Kđt Tthc Tỉnh, Phường 6, Tp Tân An Long An  Website: hyundailonganusedcar.bonbanh.com",2022,Xe đã dùng,"38,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Đỏ,,7 chỗ,5 cửa,,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2022-5275800
6,Xe Mercedes Benz SLK class SLK 350 2011- 690 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Auto Minh Quang  Điện thoại:  0939 734 567    Hoặc  0933 334 533    Địa chỉ: 222 Đinh Bộ Lĩnh, P 26, Q. Bình Thạnh TP HCM  Website: autominhquang.bonbanh.com",2011,Xe đã dùng,"87,600 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng  3.5 L,Trắng,,2 chỗ,2 cửa,,https://bonbanh.com/xe-mercedes_benz-slk_class-slk-350-2011-5243476
7,Xe Ford EcoSport Titanium 1.0 EcoBoost 2018- 445 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Sài Gòn Ford Usedcar - CN Trần Hưng Đạo  Điện thoại:  0938 570 566   Địa chỉ: 6 Trần Hưng Đạo, phường Phạm Ngũ Lão, quận 1 TP HCM  Website: saigonfordusedcar-tranhungdao.bonbanh.com",2018,Xe đã dùng,"36,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.0 L,Đen,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-ecosport-titanium-1.0-ecoboost-2018-5226261
8,Xe Lexus ES 250 F Sport 2022- 2 Tỷ 560 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,Boss Car  Điện thoại:  0983 153 398   Địa chỉ: 68 Lê Văn Lương Hà Nội  Website: bosscar.bonbanh.com,2022,Xe đã dùng,0 Km,Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-lexus-es-250-f-sport-2022-4999686
9,Xe Nissan Navara EL 2.5AT 2WD 2016- 390 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"Mr Việt  Điện thoại:     Địa chỉ: 7-9 Nguyễn Văn Linh, Gia Thuỵ Long Biên Hà Nội",2016,Xe đã dùng,"60,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-nissan-navara-el-2.5at-2wd-2016-5287179
